Layer,Kriterium,Region,Anbieter,Score,Begründung,Quellen
Edge-Integration & Gateway-Layer (Local Logic),K7: Containerisierung & Orchestrierung an der Edge,USA,AWS,5.0,"AWS IoT Greengrass V2 ist vollständig GA und best-in-class: Docker/OCI Container-Support, Lambda-Komponenten, Nucleus-Core, Fleet Provisioning. Letztes Release: v2.14.1 vom 7. Feb 2025. WICHTIG: Greengrass V1 läuft zum 7. Okt 2026 aus (EOL), aber V2 wird aktiv weiterentwickelt und ist referenzierte Version. Score 5 ✅ bestätigt.","AWS IoT Greengrass V2 What's New (docs.aws.amazon.com/greengrass/v2/developerguide/greengrass-v2-whats-new.html): 'Release: AWS IoT Greengrass Core v2.14.1 software update on February 7, 2025'; Greengrass V1 EOL Notice: 'On October 7, 2026, AWS will end support for AWS IoT Greengrass Version 1' (docs.aws.amazon.com/greengrass/v2/developerguide/what-is-iot-greengrass.html)"
Edge-Integration & Gateway-Layer (Local Logic),K7: Containerisierung & Orchestrierung an der Edge,USA,Azure,5.0,"Azure IoT Edge ist vollständig containerbasiert (Docker/Moby-Runtime), bietet edgeHub, edgeAgent, Kubernetes-Integration für Edge. OPC Publisher als IoT Edge Modul ist ein vollständig unterstütztes Microsoft-Produkt (MCR-container). Score 5 ✅ bestätigt.",Azure IoT Edge (learn.microsoft.com/azure/iot-edge); OPC Publisher als supported Microsoft product (azure.github.io/Industrial-IoT/opc-publisher): 'OPC Publisher is a fully supported Microsoft product'
Edge-Integration & Gateway-Layer (Local Logic),K7: Containerisierung & Orchestrierung an der Edge,USA,Google Cloud,3.0,"Google Distributed Cloud Edge (GDCE) bietet Kubernetes auf dedizierter Hardware für Edge/On-Premises-Szenarien. Google Cloud IoT Core wurde am 16. Aug 2023 eingestellt — kein direkter Nachfolger für IoT-spezifisches Edge-Management. GDCE abdeckt Containerorchestrierung, aber kein IoT-nativer Edge-Stack. Score 3 ✅ bestätigt.","Google Cloud IoT Core Shutdown 16. Aug 2023 (cloud.google.com): 'IoT Core will be discontinued on Aug. 16, 2023'; Google Distributed Cloud Edge (cloud.google.com/distributed-cloud/edge)"
Edge-Integration & Gateway-Layer (Local Logic),K7: Containerisierung & Orchestrierung an der Edge,DE,Stackable,2.0,"Stackable ist Kubernetes-nativ und könnte theoretisch auf Edge-Kubernetes-Clustern laufen, ist aber primär für Data-Platform-Workloads in Rechenzentren konzipiert. Kein eigenes Edge-Deployment-Framework oder zertifizierte Edge-Hardware-Integration. Score 2 ✅ bestätigt.",Stackable Dokumentation (docs.stackable.tech) — kein Edge-spezifisches Deployment-Angebot dokumentiert
Edge-Integration & Gateway-Layer (Local Logic),K7: Containerisierung & Orchestrierung an der Edge,DE,IONOS,1.0,"IONOS bietet Managed Kubernetes in der Cloud, aber keine Edge-Kubernetes-Lösung oder Edge-Deployment-Framework. Kein IoT-Edge-Produkt verfügbar. Score 1 ✅ bestätigt.",IONOS Managed Kubernetes (docs.ionos.com/cloud/managed-kubernetes) — kein Edge-Angebot
Edge-Integration & Gateway-Layer (Local Logic),K7: Containerisierung & Orchestrierung an der Edge,DE,Open Telekom Cloud (OTC),2.0,"OTC selbst hat kein Edge-Produkt. Cumulocity Edge (Software AG / T-Systems-Ökosystem) bietet Kubernetes-basiertes Edge-Management für OTC-nahe Deployments. Kein natives OTC-Produkt, daher Score 2 ✅ bestätigt.",Cumulocity Edge Kubernetes (cumulocity.com/guides/edge-kubernetes); thin-edge.io (thin-edge.io) — OTC-assoziierte Open-Source-Edge-Lösung
Edge-Integration & Gateway-Layer (Local Logic),K8: Agent-basierte Protokollübersetzung,USA,AWS,4.0,Greengrass Stream Manager und SiteWise Edge Gateway unterstützen Protokollübersetzung (OPC-UA → MQTT/AWS IoT). IoT SiteWise Edge Gateway ist GA. Kein vollständiges natives OPC-UA-Browser/Publisher wie Azure OPC Publisher. Score 4 ✅ bestätigt.,AWS IoT SiteWise Edge Gateway (docs.aws.amazon.com/iot-sitewise/latest/userguide/configure-gateway.html)
Edge-Integration & Gateway-Layer (Local Logic),K8: Agent-basierte Protokollübersetzung,USA,Azure,5.0,"Azure IoT Edge bietet OPC Publisher als vollständig unterstütztes Microsoft-Produkt (aus MCR): verbindet OPC-UA-Server mit Azure IoT Hub, unterstützt OPC-UA PubSub, Discovery, Security. Offiziell supporteter Docker-Container. Score 5 ✅ quellenbasiert bestätigt.","Azure OPC Publisher (azure.github.io/Industrial-IoT/opc-publisher): 'OPC Publisher is a fully supported Microsoft product, developed in the open, that bridges the gap between industrial assets and the Microsoft Azure cloud'; GitHub Azure/Industrial-IoT (github.com/Azure/Industrial-IoT)"
Edge-Integration & Gateway-Layer (Local Logic),K8: Agent-basierte Protokollübersetzung,USA,Google Cloud,1.0,"Nach Google Cloud IoT Core Shutdown am 16. Aug 2023 kein nativer Protocol-Translation-Agent mehr verfügbar. ClearBlade wird als Partner-Alternative empfohlen, ist aber kein Google-Produkt. Score 1 ✅ bestätigt — IoT Core Sunset quellenbasiert verifiziert.","Google Cloud IoT Core Discontinuation 16. Aug 2023: 'IoT Core will be discontinued on Aug. 16, 2023, at which point your access to the IoT Core Device Manager APIs will no longer be available' (cloud.google.com); Multiple Quellen bestätigen Shutdown"
Edge-Integration & Gateway-Layer (Local Logic),K8: Agent-basierte Protokollübersetzung,DE,Stackable,0.0,"Stackable hat keinerlei Protocol-Translation-Funktionalität. Stackable-Operatoren orchestrieren Data-Platform-Dienste (Kafka, Spark, etc.) — kein OT-Protokoll-Handling. Score 0 ✅ bestätigt.",Stackable Dokumentation (docs.stackable.tech)
Edge-Integration & Gateway-Layer (Local Logic),K8: Agent-basierte Protokollübersetzung,DE,IONOS,0.0,IONOS bietet keinen Edge-Agent oder Protocol-Translation-Dienst. Kein OT-Protokoll-Support. Score 0 ✅ bestätigt.,IONOS Cloud Produktübersicht (docs.ionos.com/cloud)
Edge-Integration & Gateway-Layer (Local Logic),K8: Agent-basierte Protokollübersetzung,DE,Open Telekom Cloud (OTC),3.0,"KORREKTUR (war 2, bereits im FINAL eingetragen): Cumulocity OPC-UA Gateway läuft als thin-edge.io-Erweiterung auf Edge-Hardware, unterstützt OPC-UA Server Discovery und Datenweiterleitung. Thin-edge.io ist OTC-assoziiertes Open-Source-Projekt. Score 3 ✅ bestätigt.",Cumulocity Community: OPC UA gateway mit thin-edge.io (cumulocity.com/guides/protocol-integration/opcua); thin-edge.io (thin-edge.io)
Edge-Integration & Gateway-Layer (Local Logic),K9: Lokale Echtzeit-Verarbeitung,USA,AWS,3.0,"Greengrass ermöglicht lokale Lambda-Ausführung und Stream Manager für Datenvorverarbeitung. AWS beschreibt es als 'near real-time' — kein Echtzeit-OS oder deterministisches Scheduling. Geeignet für Millisekunden-Latenz, nicht für Mikrosekunden-Steuerung. Score 3 ✅ bestätigt.",AWS Greengrass FAQs: 'near real-time' (aws.amazon.com/greengrass/faqs)
Edge-Integration & Gateway-Layer (Local Logic),K9: Lokale Echtzeit-Verarbeitung,USA,Azure,3.0,Azure IoT Edge Module laufen als Docker-Container mit lokalem messageRouting. Kein RTOS-Support oder deterministische Echtzeit-Garantien. Ähnliches Niveau wie AWS Greengrass. Score 3 ✅ bestätigt.,Azure IoT Edge (learn.microsoft.com/azure/iot-edge/module-composition)
Edge-Integration & Gateway-Layer (Local Logic),K9: Lokale Echtzeit-Verarbeitung,USA,Google Cloud,1.0,"Google Distributed Cloud Edge fokussiert auf IT-Workloads (Kubernetes), nicht auf OT-Echtzeit. Nach IoT Core Sunset kein IoT-nativer lokaler Verarbeitungsstack verfügbar. Score 1 ✅ bestätigt.",Google Distributed Cloud Edge (cloud.google.com/distributed-cloud/edge); Google Cloud IoT Core Shutdown Aug 2023
Edge-Integration & Gateway-Layer (Local Logic),K9: Lokale Echtzeit-Verarbeitung,DE,Stackable,0.0,"Stackable ist für Batch- und Streaming-Datenverarbeitung in der Cloud konzipiert. Kein Edge-Deployment, kein lokaler Echtzeit-Stack. Score 0 ✅ bestätigt.",Stackable Dokumentation (docs.stackable.tech)
Edge-Integration & Gateway-Layer (Local Logic),K9: Lokale Echtzeit-Verarbeitung,DE,IONOS,0.0,IONOS hat kein Edge-Produkt und keine Echtzeit-Verarbeitungslösung für lokale/OT-Szenarien. Score 0 ✅ bestätigt.,IONOS Cloud Produktübersicht (docs.ionos.com/cloud)
Edge-Integration & Gateway-Layer (Local Logic),K9: Lokale Echtzeit-Verarbeitung,DE,Open Telekom Cloud (OTC),1.0,"thin-edge.io bietet lokale Regelausführung, aber kein deterministisches Echtzeit-Framework. Für OT-Echtzeit (z.B. SPS-Taktung) ungeeignet. Score 1 ✅ bestätigt.",thin-edge.io (thin-edge.io); Cumulocity Edge K8s Docs (cumulocity.com)
Edge-Integration & Gateway-Layer (Local Logic),GESAMT (Layer-Durchschnitt),USA,AWS,4.0,"Summe: 12 (K7:5 + K8:4 + K9:3), Durchschnitt: 4.0 — unverändert ✅",Aggregiert aus Einzelbewertungen
Edge-Integration & Gateway-Layer (Local Logic),GESAMT (Layer-Durchschnitt),USA,Azure,4.33,"Summe: 13 (K7:5 + K8:5 + K9:3), Durchschnitt: 4.33 — unverändert ✅",Aggregiert aus Einzelbewertungen
Edge-Integration & Gateway-Layer (Local Logic),GESAMT (Layer-Durchschnitt),USA,Google Cloud,1.67,"Summe: 5 (K7:3 + K8:1 + K9:1), Durchschnitt: 1.67 — unverändert ✅. Maßgeblich geprägt durch IoT Core Shutdown Aug 2023.",Aggregiert aus Einzelbewertungen
Edge-Integration & Gateway-Layer (Local Logic),GESAMT (Layer-Durchschnitt),DE,Stackable,0.67,"Summe: 2 (K7:2 + K8:0 + K9:0), Durchschnitt: 0.67 — unverändert ✅",Aggregiert aus Einzelbewertungen
Edge-Integration & Gateway-Layer (Local Logic),GESAMT (Layer-Durchschnitt),DE,IONOS,0.33,"Summe: 1 (K7:1 + K8:0 + K9:0), Durchschnitt: 0.33 — unverändert ✅",Aggregiert aus Einzelbewertungen
Edge-Integration & Gateway-Layer (Local Logic),GESAMT (Layer-Durchschnitt),DE,Open Telekom Cloud (OTC),2.0,"Summe: 6 (K7:2 + K8:3 + K9:1), Durchschnitt: 2.0 — unverändert ✅. K8 Korrektur (2→3) war bereits im FINAL eingetragen und bestätigt.",Aggregiert aus Einzelbewertungen
